Brand,Model,Price,Boite vitesse,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Gouvernorat,Génération,Kilométrage,Mise en circulation,Moteur,Nombre de places,Nombre de portes,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Mercedes-Benz,Classe C,71 000DT,Automatique,Utilitaire,Noir,Noir,1796cm³,Ariana,(204) Phase 2 Break03/2011 - 07/2014,200000km,07.2011,180 CGI 1.8 16V CGI 7G-TRONIC+ BlueEFFICIENCY,5,4,156ch dyn,,9cv,,Cuir partiel,Traction,Essence
Land Rover,Defender 110,65 000DT,Manuelle,SUV/4x4,Vert,Noir,2500cm³,Tunis,I 11010/1990 - 04/2007,207000km,06.1998,,3,2,,,8cv,,Tissu,Intégrale,Diesel
Mercedes-Benz,Classe E coupé,62 000DT,Automatique,Coupé,Gris anthracite,Rouge,899cm³,Tunis,(207) Coupé05/2009 - 12/2014,160000km,12.2011,,4,3,,,11cv,,Cuir intégral,Propulsion,Essence
BMW,Série 4 Gran Coupé,120 000DT,Automatique,Berline,Blanc,Noir,899cm³,Tunis,(F36) Gran Coupé03/2014 - 02/2017,110000km,01.2017,,5,5,,,7cv,,Cuir intégral,Propulsion,Essence
Mercedes-Benz,Classe C,143 000DT,Automatique,Berline,Noir,Noir,1597cm³,Béja,(205) Berline03/2014 - 04/2021,67000km,11.2019,180 CDi 1.6 CDI 16V 9G-TRONIC BlueTEC,5,4,122ch dyn,,6cv,,Alcantara,Propulsion,Diesel
Mercedes-Benz,Classe C,74 000DT,Automatique,Berline,Noir,Noir,1600cm³,Sfax,(204) Phase 2 Berline03/2011 - 02/2014,159000km,11.2012,,5,4,,,9cv,,Cuir intégral,Propulsion,Essence
Land Rover,Range Rover Sport,338 000DT,Automatique,SUV/4x4,Noir,Beige,1590cm³,Tunis,Sport III05/2022 - Aujourd'hui,52400km,05.2021,P400 3.0 i 24V MHEV AWD,5,5,,,19cv,400ch dyn,Cuir intégral,Traction,Hybride rechargeable essence
Toyota,C-HR,78 000DT,Automatique,Compacte,Noir,Noir,1200cm³,Tunis,I Phase 210/2019 - 12/2023,102000km,01.2020,1.2 L,5,4,116ch dyn,,6cv,,Tissu,Traction,Essence
Land Rover,Range Rover Evoque,95 000DT,Automatique,SUV/4x4,Blanc,Rouge,1000cm³,Tunis,Evoque I (5p)03/2011 - 05/2015,122000km,05.2015,,4,4,,,15cv,,Tissu,Traction,Essence
Cupra,Formentor,145 000DT,Automatique,Compacte,Blanc,Noir,7000cm³,Tunis,07/2020 - Aujourd'hui,23000km,04.2022,2.0 TSI 16V DSG 7,4,4,190ch dyn,,11cv,,Tissu,Traction,Essence
Toyota,Corolla,70 000DT,Automatique,Compacte,Noir,Noir,1000cm³,Tunis,,66000km,01.2022,,4,4,,,6cv,,Tissu,Traction,Essence
Jaguar,F-Pace,180 000DT,Automatique,SUV/4x4,Noir,Noir,7000cm³,Tunis,10/2015 - Aujourd'hui,84000km,05.2018,,5,4,,,10cv,,Cuir intégral,Traction,Diesel
Jeep,Compass,95 000DT,Automatique,SUV/4x4,Noir,Noir,1000cm³,Tunis,II07/2017 - 04/2021,76000km,02.2020,,4,4,,,11cv,,Tissu,Traction,Essence
Toyota,Yaris Cross Hybride,114 000DT,Automatique,Compacte,Jaune,Marron,1000cm³,Tunis,07/2021 - Aujourd'hui,2000km,09.2024,,4,4,,,5cv,,Tissu,Traction,Hybride essence
Porsche,Cayenne,158 000DT,Automatique,Compacte,Noir,Noir,2000cm³,Tunis,92A02/2010 - 05/2018,183000km,08.2010,S 4.8 DFI V8 AWD 32V Tiptronic S,4,4,400ch dyn,,41cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe C,95 000DT,Automatique,Compacte,Noir,Noir,1000cm³,Tunis,(204) Phase 2 Berline03/2011 - 02/2014,56000km,01.2013,180 Kompressor 1.6 i 16V BlueEFFICIENCY,4,4,156ch dyn,,9cv,,Tissu,Traction,Essence
Porsche,Panamera,119 000DT,Automatique,Compacte,Noir,Noir,1000cm³,Tunis,970 Phase 206/2013 - 08/2016,183000km,01.2012,3.6 i V6 24V PDK,4,4,310ch dyn,,20cv,,Tissu,Traction,Essence
Volkswagen,Jetta,34 500DT,Automatique,Berline,Gris anthracite,Beige,1598cm³,Ariana,III Phase 2 (1K2)07/2008 - 10/2010,139000km,05.2009,,5,4,,,7cv,,Tissu,Traction,Essence
Fiat,Panda City Cross,41 000DT,Manuelle,Citadine,Blanc,Noir,1298cm³,Tunis,(312)01/2012 - Aujourd'hui,70000km,08.2020,City Cross 1.2 69 S&S,5,4,69ch dyn,,4cv,,Tissu,Traction,Essence
Great Wall,M4,41 000DT,Manuelle,SUV/4x4,Gris argent,Noir,1498cm³,Tunis,I02/2017 - 06/2021,100000km,05.2018,,5,4,,,7cv,,Similicuir,Traction,Essence
Hyundai,Grand i10,42 000DT,Manuelle,Citadine,Rouge,Noir,999cm³,BenArous,II phase 111/2020 - 11/2023,82000km,08.2022,,5,4,,,4cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe C,62 000DT,Automatique,Berline,Noir,Beige,1598cm³,BenArous,(204) Phase 2 Berline03/2011 - 02/2014,301000km,12.2012,,5,4,,,9cv,,Similicuir,Traction,Essence
Mercedes-Benz,Classe A,59 500DT,Automatique,Citadine,Bleu,Noir,1598cm³,BenArous,,135000km,09.2012,,5,4,,,6cv,,Similicuir,Traction,Essence
Hyundai,Grand i10,42 900DT,Manuelle,Citadine,Blanc,Noir,1198cm³,BenArous,II phase 111/2020 - 11/2023,79000km,03.2021,,5,4,,,5cv,,Tissu,Traction,Essence
Mercedes-Benz,Classe C,105 000DT,Automatique,Berline,Noir,Noir,1598cm³,Ariana,(205) Berline03/2014 - 04/2021,172000km,12.2018,,5,4,,,8cv,,Similicuir,Traction,Essence
KIA,Optima,44 000DT,Automatique,Berline,Gris argent,Noir,1998cm³,BenArous,11/2010 - 07/2015,206000km,06.2012,,5,4,,,10cv,,Similicuir,Traction,Essence
KIA,Rio Berline,44 500DT,Manuelle,Berline,Noir,Marron,1198cm³,BenArous,III Sedan02/2012 - 10/2018,87000km,12.2017,,5,4,,,5cv,,Similicuir,Traction,Essence
BMW,X6,65 000DT,Automatique,SUV/4x4,Noir,Beige,3498cm³,BenArous,(E71)05/2008 - 06/2014,146000km,10.2008,,5,4,,,22cv,,Similicuir,Traction,Essence
Ford,Ranger Raptor,235 000DT,Automatique,Pickup,Noir,Noir,1998cm³,BenArous,III (TKE) Phase 310/2019 - Aujourd'hui,57000km,02.2022,,5,4,,,7cv,,Alcantara,Traction,Diesel
Volkswagen,Golf 7,38 500DT,Automatique,Citadine,Gris argent,Noir,1198cm³,Ariana,VII 5 Portes08/2012 - 10/2016,307000km,04.2013,,5,4,,,6cv,,Tissu,Traction,Essence
BMW,Série 5,236 500DT,Automatique,Berline,Noir,Marron,1998cm³,Ariana,(G30) LCI Berline07/2020 - Aujourd'hui,58000km,06.2022,,5,4,,,10cv,,Similicuir,Traction,Hybride diesel
Haval,H6,75 000DT,Automatique,SUV/4x4,Noir,Marron,1498cm³,BenArous,II01/2019 - 06/2021,73000km,03.2020,1.5 T 143cv boite auto,5,4,143ch dyn,,9cv,,Similicuir,Traction,Essence
Citroën,C4,29 500DT,Manuelle,Citadine,Gris anthracite,Noir,1389cm³,Ariana,II (B7)09/2010 - 06/2018,195000km,06.2014,,5,4,,,6cv,,Alcantara,Traction,Essence
Hyundai,Tucson Hybride,120 000DT,Automatique,SUV/4x4,Blanc,Noir,1598cm³,BenArous,IV10/2020 - Aujourd'hui,109000km,10.2021,,5,4,,,7cv,,Similicuir,Traction,Hybride diesel
Citroën,C3,41 000DT,Automatique,Citadine,Noir,Noir,1198cm³,BenArous,III (B618)07/2016 - 06/2020,94000km,12.2017,1.2 THP PureTech 12V EAT6 S&S,5,4,110ch dyn,,6cv,,Tissu,Traction,Essence
