Brand,Model,Price,Boite vitesse,Cylindrée,Puissance fiscale,Kilométrage,Age,Essence,Diesel,Electric
Alfa_Romeo,Giulia,198.0,True,1.995,11,0.0,0.0,True,False,False
Alfa_Romeo,Stelvio,265.0,True,1.995,17,0.0,0.0,True,False,False
Audi,A3_Sportback,145.0,True,1.395,8,0.0,0.0,True,False,False
Audi,A3_Berline,149.0,True,1.395,8,0.0,0.0,True,False,False
Audi,A4,198.0,True,1.984,8,0.0,0.0,True,False,False
Audi,A6,295.0,True,1.984,11,0.0,0.0,True,False,True
Audi,Q2,159.0,True,1.498,8,0.0,0.0,True,False,False
Audi,Q3,205.0,True,1.498,9,0.0,0.0,True,False,False
Audi,Q3_Sportback,235.0,True,1.498,9,0.0,0.0,True,False,False
Audi,Q7,445.0,True,1.984,16,0.0,0.0,True,False,False
Bestune,Bestune_T77,113.777,True,1.498,9,0.0,0.0,True,False,False
Bestune,Bestune_T77,118.777,True,1.498,9,0.0,0.0,True,False,False
Bmw,Serie_1_5p,150.9,True,1.499,6,0.0,0.0,True,False,False
Bmw,Serie_1_5p,159.4,True,1.499,6,0.0,0.0,True,False,False
Bmw,Serie_1_5p,167.5,True,1.499,8,0.0,0.0,True,False,False
Bmw,Serie_1_5p,167.9,True,1.499,6,0.0,0.0,True,False,False
Bmw,Serie_2_Gran_Coupe,169.9,True,1.499,8,0.0,0.0,True,False,False
Bmw,Serie_2_Gran_Coupe,184.6,True,1.499,8,0.0,0.0,True,False,False
Bmw,Serie_2_Gran_Coupe,191.9,True,1.499,8,0.0,0.0,True,False,False
Bmw,Serie_3,207.9,True,1.598,9,0.0,0.0,True,False,False
Bmw,Serie_3,225.9,True,1.598,9,0.0,0.0,True,False,False
Bmw,Serie_3,249.9,True,1.598,9,0.0,0.0,True,False,False
Bmw,Serie_3,267.9,True,1.598,9,0.0,0.0,True,False,False
Bmw,Serie_4_Gran_Coupe,281.5,True,1.998,10,0.0,0.0,True,False,False
Bmw,Serie_4_Gran_Coupe,331.9,True,1.998,10,0.0,0.0,True,False,False
Bmw,Serie_4_Coupe,329.9,True,1.998,10,0.0,0.0,True,False,False
Bmw,Serie_5,269.9,True,1.999,11,0.0,0.0,True,False,True
Bmw,Serie_5,293.9,True,1.999,11,0.0,0.0,True,False,True
Bmw,Serie_5,315.9,True,1.999,11,0.0,0.0,True,False,True
Bmw,Serie_7,782.9,True,2.998,26,0.0,0.0,True,False,True
Bmw,X1,188.9,True,1.499,9,0.0,0.0,True,False,False
Bmw,X1,213.9,True,1.499,9,0.0,0.0,True,False,False
Bmw,X1,218.9,True,1.499,9,0.0,0.0,True,False,False
Bmw,X1_Hybride,217.9,True,1.499,8,0.0,0.0,True,False,True
Bmw,X1_Hybride,239.9,True,1.499,8,0.0,0.0,True,False,True
Bmw,X1_Hybride,244.9,True,1.499,8,0.0,0.0,True,False,True
Bmw,X2,199.9,True,1.499,8,0.0,0.0,True,False,False
Bmw,X2,224.9,True,1.499,8,0.0,0.0,True,False,False
Bmw,X2,244.9,True,1.499,8,0.0,0.0,True,False,False
Bmw,X3_Hybride_Rechargeable,355.0,True,1.995,11,0.0,0.0,True,False,True
Bmw,X3_Hybride_Rechargeable,359.0,True,1.995,11,0.0,0.0,True,False,True
Bmw,X3_Hybride_Rechargeable,392.0,True,1.995,11,0.0,0.0,True,False,True
Bmw,X4,434.9,True,1.998,11,0.0,0.0,True,False,False
Bmw,X5_Hybride,496.4,True,2.998,15,0.0,0.0,True,False,True
Bmw,X5_Hybride,581.9,True,2.998,21,0.0,0.0,True,False,True
Byd,King,105.99,True,1.498,5,0.0,0.0,True,False,True
Byd,Song_Plus,156.99,True,1.497,7,0.0,0.0,True,False,True
Changan,New_Star,39.9,False,1.243,6,0.0,0.0,True,False,False
Changan,Star_Truck_Double_Cabine,49.9,False,1.243,7,0.0,0.0,True,False,False
Changan,Hunter,123.046,False,1.91,6,0.0,0.0,False,True,False
Chery,Tiggo_1x_Populaire,34.068,False,0.998,4,0.0,0.0,True,False,False
Chery,Tiggo_3x,66.99,True,0.998,6,0.0,0.0,True,False,False
Chery,Arrizo_5,63.49,False,1.499,7,0.0,0.0,True,False,False
Chery,Arrizo_5,71.49,True,1.499,7,0.0,0.0,True,False,False
Chery,Tiggo_7,99.58,True,1.498,9,0.0,0.0,True,False,False
Chery,Tiggo_8_Pro,129.59,True,1.598,11,0.0,0.0,True,False,False
Chevrolet,Groove,85.825,True,1.485,6,0.0,0.0,True,False,False
Chevrolet,Captiva,105.913,True,1.451,9,0.0,0.0,True,False,False
Chevrolet,Captiva,109.913,True,1.451,9,0.0,0.0,True,False,False
Chevrolet,Equinox,148.968,True,1.451,10,0.0,0.0,True,False,False
Citroen,C3_Populaire,34.626,False,1.199,4,0.0,0.0,True,False,False
Citroen,C4_X,89.9,True,1.199,7,0.0,0.0,True,False,False
Citroen,C4_X,94.9,True,1.199,7,0.0,0.0,True,False,False
