Model,Price,Fuel Type,Fiscal Power,Horsepower,Transmission
Huanghai N3 (non disponible),0 DT,Diesel,8,129,Manuelle
Toyota Agya populaire,26 787 DT,Essence,4,65,Manuelle
Suzuki Celerio Populaire 1.0 L GL,28 391 DT,Essence,4,68,Manuelle
DFSK K01S STD Simple Cabine (2 finitions),29 900 DT,Essence,6,,Manuelle
Kia Picanto Populaire,30 935 DT,Essence,4,69,Manuelle
Mitsubishi Attrage 1193 cm3 [populaire],33 269 DT,Essence,4,78,Manuelle
Mitsubishi Mirage 1193 cm3 [populaire],33 900 DT,Essence,4,78,Automatique
Chery Tiggo 1x 1.0L Turbo Populaire,34 068 DT,Essence,4,70,Manuelle
Hyundai Grand i10 Populaire 1.0 L,34 426 DT,Essence,4,65,Manuelle
Citroën C3 Populaire 1.2 L,34 626 DT,Essence,4,75,Manuelle
TATA SUPER ACE SIMPLE CABINE,39 900 DT,Diesel,5,71,Manuelle
Changan New Star 1.2 L,41 500 DT,Essence,6,92,
Mahindra KUV 100 1.2 L,43 960 DT,Essence,5,82,Manuelle
Wallyscar 719 1.6 L,47 140 DT,Essence,7,115,Manuelle
Lada Urban 4X4 BVM (indisponible actuellement en Tunisie),47 300 DT,Essence,7,83,Manuelle
Kia Picanto 1.2 L LX (2 finitions),47 980 DT,Essence,5,84,Manuelle
WALLYS Iris (Sur commande),48 200 DT,Essence,7,115,Manuelle
Toyota Agya 5 CV,48 900 DT,Essence,5,87,Manuelle
Tata Xenon X2 Turbo 2.2L,49 900 DT,Diesel,7,150,Manuelle
Kia Picanto 1.2 L Smart,49 980 DT,Essence,5,84,Manuelle
Hyundai Grand i10 (3 finitions),51 950 DT,Essence,5,83,
Changan New Star Truck Double Cabine 1.2 L,53 000 DT,Essence,6,92,Manuelle
KING LONG Kingwin Commercial,54 680 DT,Diesel,9,,Manuelle
Dacia Sandero 1.0L SCE,54 990 DT,Essence,5,73,Manuelle
Suzuki Dzire 1.2 (2 finitions),55 400 DT,Essence,5,85,Manuelle
Hyundai Grand i10 Sedan,56 950 DT,Essence,5,83,Manuelle
MG 3 thermique 1.5 L (3 finitions),56 950 DT,Essence,6,110,
