Price,Kilométrage,Boite vitesse,year,Cylindrée,Brand,Model,power,Energie
37500,43000.0,automatique,2015.0,1.2,Kia,Picanto,5.0,essence
27000,95000.0,manuelle,2019.0,4.0,Citroen,C-Elysée,5.0,essence
39700,84200.0,manuelle,2021.0,1.2,Volkswagen,Polo,4.0,essence
51500,72.0,manuelle,2022.0,1.2,Hyundai,I 20,5.0,essence
38000,142000.0,manuelle,2021.0,1.3,Fiat,Fiorino,5.0,diesel
58000,84000.0,manuelle,2019.0,1.5,Renault,Megane,5.0,diesel
55000,74000.0,automatique,2022.0,2.0,Autres,Autres,11.0,essence
37000,89000.0,manuelle,2021.0,1.2,Suzuki,Jimmy,4.0,essence
23900,135000.0,manuelle,2014.0,1.4,Hyundai,I 10,5.0,essence
70000,91.0,manuelle,2019.0,1.0,Volkswagen,Golf 7,6.0,essence
135000,78000.0,automatique,2018.0,1.6,Mercedes-Benz,Classe E,9.0,essence
23498,252000.0,manuelle,2019.0,1.3,Fiat,Fiorino,5.0,diesel
44500,82000.0,manuelle,2020.0,1.5,Mg,5,7.0,essence
92000,158000.0,automatique,2018.0,1.6,Mercedes-Benz,Classe C,8.0,essence
23800,200.0,manuelle,2011.0,1.2,Ford,Fiesta,4.0,essence
34000,77000.0,manuelle,2022.0,1.2,Hyundai,I 10,5.0,essence
59000,60000.0,manuelle,2021.0,1.2,Dacia,Duster,6.0,essence
38500,100000.0,manuelle,2022.0,1.0,Renault,Symbol,5.0,essence
75500,89458.0,manuelle,2019.0,1.0,Volkswagen,Golf,6.0,essence
76000,69000.0,manuelle,2020.0,1.1,Volkswagen,Touareg,6.0,essence
80000,59500.0,manuelle,2020.0,1.1,Volkswagen,T-Roc,6.0,essence
72500,88500.0,manuelle,2019.0,1.1,Volkswagen,Golf 7,6.0,essence
81000,78000.0,manuelle,2021.0,1.1,Volkswagen,Golf 8,6.0,essence
45000,75000.0,manuelle,2020.0,3.0,Seat,Ibiza,4.0,essence
32800,58000.0,manuelle,2021.0,1.0,Suzuki,Celerio,4.0,essence
49500,84000.0,manuelle,2020.0,1.2,Peugeot,308,5.0,essence
29800,156.0,manuelle,2020.0,1.5,Dacia,Dokker,7.0,diesel
130000,90000.0,manuelle,2019.0,2.4,Toyota,Hilux,8.0,diesel
63000,188.5,automatique,2017.0,2.0,Mazda,Cx-5,9.0,essence
13500,120000.0,manuelle,2007.0,1.0,Peugeot,Expert,5.0,diesel
11111,170000.0,manuelle,2013.0,1.6,Dacia,Duster,7.0,essence
23500,198000.0,manuelle,2010.0,1.0,Citroen,C1,4.0,essence
29500,90000.0,manuelle,2022.0,1.0,Suzuki,Jimmy,4.0,essence
38900,103000.0,manuelle,2019.0,1.2,Kia,Picanto,4.0,essence
61000,105.0,manuelle,2021.0,1.0,Seat,Ibiza,4.0,essence
21500,200000.0,manuelle,2014.0,1.6,Citroen,Berlingo,5.0,diesel
32800,40000.0,manuelle,2021.0,1.2,Toyota,Aygo,4.0,essence
67000,147000.0,automatique,2015.0,1.9,Mazda,Cx-5,9.0,essence
185000,900.0,automatique,2024.0,1.5,Bmw,X1,8.0,essence
35800,70000.0,manuelle,2020.0,1.2,Citroen,C3,4.0,essence
39900,200000.0,manuelle,2015.0,1.6,Peugeot,3008,6.0,diesel
44500,140000.0,manuelle,2021.0,1.0,Volkswagen,Polo,4.0,essence
12000,160.0,manuelle,1989.0,1.4,Renault,Express,6.0,essence
77000,168000.0,automatique,2012.0,1.8,Mercedes-Benz,Classe C,9.0,essence
