Name,Price,Kilométrage,Couleur du véhicule,Etat du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant
à vendre kia picanto 1 et main,37500,43000,Noir,Nouveau,Automatique,2015,1.2L,Kia,Picanto,5,Berline,Essence
a vendre voiture Citroën C-Elysée 5 CV climatisée toutes options Numéro 29445427,27000,95000,,Nouveau,Manuelle,2019,>4.0L,Citroen,C-Elysée,5,Autres,Essence
polo 8   issence 2021,39700,84200,Bleu,Avec kilométrage,Manuelle,2021,1.2L,Volkswagen,Polo,4,Compacte,Essence
hyundai i 20 +))2022)),51500,72,Vert,Avec kilométrage,Manuelle,2022,1.2L,Hyundai,I 20,5,Autres,Essence
Fiat Fiorino importée,38000,142000,Blanc,Avec kilométrage,Manuelle,2021,1.3L,Fiat,Fiorino,5,Utilitaire,Diesel
O P P O R T U N I T E _ VOLKSWAGEN GOLF 5 TDI_ Prix négociable !,27948,,Gris,,Manuelle,2007,,Volkswagen,Golf 5,6,Compacte,Diesel
megane 4 tout neuf,58000,84000,Noir,Avec kilométrage,Manuelle,2019,1.5L,Renault,Megane,5,Compacte,Diesel
Audi B4,14500,0000,Noir,Avec kilométrage,Manuelle,1993,3.0L,Audi,80,0000,Autres,
CUPRA FORMENTOR,55000,74000,Gris,Avec kilométrage,Automatique,2022,2.0L,Autres,Autres,11,Compacte,Essence
SUZUKI Spresso Échantillon,37000,89000,Orange,Avec kilométrage,Manuelle,2021,1.2L,Suzuki,Jimmy,4,Berline,Essence
HYUNDAI GRAND  I10,23900,135000,Gris,Avec kilométrage,Manuelle,2014,1.4L,Hyundai,I 10,5,Autres,Essence
Tivoli,43000,193400,Rouge,Avec kilométrage,Automatique,2016,1.6L,Ssangyong,Tivoli,,Autres,Essence
Golf 7,70000,91,Bleu,Avec kilométrage,Manuelle,2019,<1.0L,Volkswagen,Golf 7,6,Berline,Essence
MERCEDES 180 1ere main  sfax,135000,78000,Noir,Avec kilométrage,Automatique,2018,1.6L,Mercedes-Benz,Classe E,9,Berline,Essence
VOITURE FIAT FIORINO 213,23498,252000,Blanc,Avec kilométrage,Manuelle,2019,1.3L,Fiat,Fiorino,5,Utilitaire,Diesel
MG 5,44500,82000,Blanc,Avec kilométrage,Manuelle,2020,1.5L,MG,5,7,Berline,Essence
Mercedes-benz C-class W205,92000,158000,Noir,Nouveau,Automatique,2018,1.6L,Mercedes-Benz,Classe C,8,Berline,Essence
Ford ka TITANIUM,23800,200,Noir,Avec kilométrage,Manuelle,2011,1.2L,Ford,Fiesta,4,Berline,Essence
Hyundai i10,34000,77000,Gris,Avec kilométrage,Manuelle,2022,1.2L,Hyundai,I 10,5,Compacte,Essence
Dacia importé,59000,60000,Doré,Avec kilométrage,Manuelle,2021,1.2L,Dacia,Duster,6,Berline,Essence
🚘  Renault Symbol 🚘,38500,100000,Blanc,Nouveau,Manuelle,2022,<1.0L,Renault,Symbol,05,Berline,Essence
Golf 7 IQ Drive,75500,89458,Gris,Avec kilométrage,Manuelle,2019,<1.0L,Volkswagen,Golf,6,Compacte,Essence
Troc récemment importée d'Allemagne,76000,69000,Blanc,Avec kilométrage,Manuelle,2020,1.1L,Volkswagen,Touareg,6,4 x 4,Essence
Troc style importée de l’Allemagne,80000,59500,Rouge,Avec kilométrage,Manuelle,2020,1.1L,Volkswagen,T-ROC,6,4 x 4,Essence
Golf 7 Allemagne,72500,88500,Blanc,Avec kilométrage,Manuelle,2019,1.1L,Volkswagen,Golf 7,6,Berline,Essence
Golf 8 Allemagne,81000,78000,Blanc,Avec kilométrage,Manuelle,2021,1.1L,Volkswagen,Golf 8,6,Berline,Essence
seat ibiza,45000,75000,Blanc,Avec kilométrage,Manuelle,2020,3.0L,Seat,Ibiza,4,Compacte,Essence
Suzuki Celerio 2021,32800,58000,Rouge,Avec kilométrage,Manuelle,2021,<1.0L,Suzuki,Celerio,4,Compacte,Essence
308 à vendre,49500,84000,Blanc,Avec kilométrage,Manuelle,2020,1.2L,Peugeot,308,5,,Essence
Dacia dokker,29800,156,Blanc,Avec kilométrage,Manuelle,2020,1.5L,Dacia,Dokker,7,Compacte,Diesel
Toyota hilux,130000,90000,Gris,Nouveau,Manuelle,2019,2.4L,Toyota,Hilux,8,Pick up,Diesel
très Belle Mazda CX-5,63000,188.500,Rouge,Avec kilométrage,Automatique,2017,2.0L,Mazda,CX-5,9,4 x 4,Essence
très Belle Mazda CX-5,63000,188.500,Rouge,Avec kilométrage,Automatique,2017,2.0L,Mazda,CX-5,9,4 x 4,Essence
peugeot,13500,120000,Blanc,Avec kilométrage,Manuelle,2007,<1.0L,Peugeot,Expert,5,Autres,Diesel
Dacia duster,11111,170000,Marron,Nouveau,Manuelle,2013,1.6L,Dacia,Duster,7,Autres,Essence
mazda,1111111,11111111,Jaune,Avec kilométrage,Manuelle,2006,>4.0L,Mazda,E2000,9,Utilitaire,Diesel
Citroën C1 très très propre,23500,198000,Vert,Avec kilométrage,Manuelle,2010,<1.0L,Citroen,C1,4,Autres,Essence
🚘 Suzuki S-PRESSO 🚘,29500,90000,Blanc,Nouveau,Manuelle,2022,<1.0L,Suzuki,Jimmy,04,Compacte,Essence
kia picanto Gtline 2019 1.2,38900,103000,Blanc,Nouveau,Manuelle,2019,1.2L,Kia,Picanto,4,Compacte,Essence
ibiza,61000,105,Gris,Avec kilométrage,Manuelle,2021,<1.0L,Seat,Ibiza,4,Compacte,Essence
Citroën berlingo,21500,200000,Noir,Avec kilométrage,Manuelle,2014,1.6L,Citroen,Berlingo,5,Autres,Diesel
toyota agya populaire,32800,40000,Blanc,Avec kilométrage,Manuelle,2021,1.2L,Toyota,Aygo,4,Autres,Essence
A vendre Mazda CX-5 Nabeul,67000,147000,Noir,Avec kilométrage,Automatique,2015,1.9L,Mazda,CX-5,9,Autres,Essence
BMW X2 2024,185000,900,Blanc,Nouveau,Automatique,2024,1.5L,BMW,X1,8,4 x 4,Essence
🚘 Citroën C3  🚘,35800,70000,Noir,Nouveau,Manuelle,2020,1.2L,Citroen,C3,04,Berline,Essence
3008 Peugeot 1.6L blue hdi 120ch,39900,200000,Gris,Nouveau,Manuelle,2015,1.6L,Peugeot,3008,06,Berline,Diesel
🚘 VOLKSWAGEN POLO 8 🚘,44500,140000,Blanc,Avec kilométrage,Manuelle,2021,<1.0L,Volkswagen,Polo,04,Compacte,Essence
Renault Express 5 place essance,12000,160,Beige,Avec kilométrage,Manuelle,1989,1.4L,Renault,Express,6,Berline,Essence
Mercedes-Benz Classe C coupé AMG,77000,168000,Blanc,Avec kilométrage,Automatique,2012,1.8L,Mercedes-Benz,Classe C,9,Autres,Essence
Belle Fiat panda 2009,22000,200,Bleu,Avec kilométrage,Manuelle,2009,1.2L,Fiat,Panda,4,Compacte,Essence
SUPERBE HONDA CIVIC RS,75000,160000,Autre,Avec kilométrage,Automatique,2020,1.5L,Honda,Civic,10,Berline,Essence
A vendre Peugeot 301 1ere main,24500,202,Bleu,Avec kilométrage,Manuelle,2018,<1.0L,Peugeot,301,5,Berline,Essence
RENAULT CLIO,49500,114000,Blanc,Avec kilométrage,Manuelle,2021,<1.0L,Renault,Clio,5,Compacte,Essence
Kia Rio 2010,240000,200000,Beige,Avec kilométrage,Manuelle,2010,1.6L,Kia,Rio,6,Berline,Essence
🚘 SKODA FABIA 🚘,41500,130000,Blanc,Nouveau,Manuelle,2021,<1.0L,Skoda,Fabia,04,Berline,Essence
Nissan Qashqai face 3 tekna plus Édition modèle 2020 DIG T-140,97381891,96000,Noir,Nouveau,Manuelle,2020,1.3L,Nissan,Qashqai,7,Autres,Essence
Citroën berlingo B9,27500,268000,Blanc,RS,Manuelle,2015,1.6L,Citroen,Berlingo,5,Berline,Diesel
MEGANE 4 BERLINE,48500,150000,Noir,Avec kilométrage,Manuelle,2020,1.2L,Renault,Megane,07,Berline,Essence
CHERY TIGGO 3X CVT LUXURY MODEL 2023 🍓,53500,74000,Gris,Avec kilométrage,Automatique,2022,<1.0L,Chery,Tiggo,6,Compacte,Essence
Citroën berlingo B9,27500,268000,Blanc,RS,Manuelle,2015,1.6L,Citroen,Berlingo,5,Berline,Diesel
Kia Picanto 2014 toute option,29200,160,Noir,Nouveau,Manuelle,2014,1.2L,Kia,Picanto,4,Compacte,Essence
Passat essence,12345,1234,Gris,Avec kilométrage,Manuelle,2009,1.6L,Volkswagen,Passat CC,7,Berline,Essence
nemo 1.4hdi  année 2013 tef 55337335,20500,328000,Noir,Avec kilométrage,Manuelle,2013,1.4L,Citroen,Nemo,6,Utilitaire,Diesel
206+,17000000,,Blanc,Avec kilométrage,Manuelle,2011,>4.0L,Peugeot,206,,Autres,Diesel
A vendre Palio 1,10700,220000,Gris,Avec kilométrage,Manuelle,2000,1.2L,Fiat,Palio,4,Autres,Essence
H6 etat neuf sous leasing,50000,70000,Marron,Nouveau,Automatique,2021,1.5L,Haval,H6,9,Autres,Essence
Fiat palio 3,17900,500000,Camel,Avec kilométrage,Manuelle,2010,<1.0L,Fiat,Palio,5,Compacte,Essence
Volkswagen Crafter Maxi Tout Option,78000,203,Blanc,Avec kilométrage,Manuelle,2020,2.0L,Volkswagen,Crafter,9,Compacte,Diesel
Panda Cross City,36500,130000,Noir,Avec kilométrage,Manuelle,2022,1.2L,Fiat,Panda,4,Compacte,Essence
AUDI A5 Quattro S line,55000,128000,Noir,Avec kilométrage,Automatique,2011,2.0L,Audi,A5,13,Autres,Essence
kia picanto 2010,24500,137,Gris,Avec kilométrage,Manuelle,2010,1.2L,Kia,Picanto,4,Compacte,Essence
AV Mercedes E200,88000,148000,Noir,Avec kilométrage,Automatique,2013,2.0L,Mercedes-Benz,Classe E,8,Berline,Diesel
🚘 CITROËN DS5 🚘,61500,110000,Noir,Avec kilométrage,Automatique,2017,1.6L,Citroen,DS5,09,Berline,Essence
Golf 7 1.2 TSI,46000,175400,Noir,Avec kilométrage,Manuelle,2013,1.2L,Volkswagen,Golf 7,5,Compacte,Essence
🚘 Hyundai Grand-i10 BVA 🚘,44500,100000,Noir,Nouveau,Automatique,2021,1.2L,Hyundai,Grand i10,05,Compacte,Essence
Dacia Duster 1er main,59500,52000,Gris,Avec kilométrage,Manuelle,2018,1.6L,Dacia,Duster,7,4 x 4,Essence
polo 5 essence,17500,288000,Noir,Avec kilométrage,Manuelle,2005,1.2L,Volkswagen,Polo,4,Autres,Essence
